date,sales_quantity
2018-08-15,2
2018-08-15,4
2018-08-15,1
2018-08-15,1
2018-08-15,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,3
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,4
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,3
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,3
2018-08-16,1
2018-08-16,1
2018-08-16,4
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,3
2018-08-16,1
2018-08-16,3
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,3
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,3
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,3
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,2
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-16,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,1
2018-08-17,2
2018-08-17,3
2018-08-17,2
